T,FC,E,F,C
1, 4, 0, 0, 0
2, 12, 0, 0, 0
3, 15, 0, 0, 0
4, 9, 0, 0, 0
5, 28, 0, 0, 0
6, 29, 0, 0, 0
7, 8, 0, 0, 0
8, 7, 0, 0, 0
9, 4, 0, 0, 0
10, 8, 0, 0, 0
11, 9, 0, 0, 0
12, 12, 0, 0, 0
13, 8, 0, 0, 0
14, 4, 0, 0, 0
15, 14, 0, 0, 0
16, 19, 0, 0, 0
17, 23, 0, 0, 0
18, 12, 0, 0, 0
19, 22, 0, 0, 0
20, 12, 0, 0, 0
21, 13, 0, 0, 0
22, 19, 0, 0, 0
23, 10, 0, 0, 0
24, 5, 0, 0, 0
25, 5, 0, 0, 0
26, 5, 0, 0, 0
27, 7, 0, 0, 0
28, 7, 0, 0, 0
29, 1, 0, 0, 0
30, 3, 0, 0, 0
31, 1, 0, 0, 0
32, 2, 0, 0, 0
33, 0, 0, 0, 0
34, 2, 0, 0, 0
35, 9, 0, 0, 0
36, 1, 0, 0, 0
37, 0, 0, 0, 0
38, 0, 0, 0, 0
39, 0, 0, 0, 0
40, 1, 0, 0, 0
41, 1, 0, 0, 0